episode_number,success_episode,failure_episode,episode_reward,episode_step,ego_safety_score,social_safety_score,timelapse
601,False,True,-492,305,1.0,0.9573770491803278,52.272156953811646
602,False,True,-409,186,0.978494623655914,0.978494623655914,31.888079166412354
603,False,True,-350,152,1.0,0.9671052631578947,29.074525117874146
604,False,True,-248,52,0.9807692307692307,1.0,9.209989070892334
605,False,True,-401,212,0.9858490566037735,0.9292452830188679,38.41238188743591
606,False,True,-242,44,1.0,0.9318181818181819,8.25390100479126
607,False,True,-269,82,0.9390243902439024,0.8536585365853658,15.071681022644043
608,False,True,-238,51,1.0,0.9411764705882353,9.578457832336426
609,False,True,-218,23,0.9565217391304348,0.8695652173913043,3.9910900592803955
610,False,True,-276,82,0.975609756097561,0.8902439024390244,14.585033178329468
611,False,True,-321,149,0.9731543624161074,0.9060402684563759,26.589520931243896
612,False,True,-247,68,1.0,0.9117647058823529,11.930054187774658
613,False,True,-278,84,1.0,0.9642857142857143,15.630008935928345
614,False,True,-330,127,0.9606299212598425,0.8976377952755905,23.025752067565918
615,False,True,-606,415,0.9903614457831326,0.9204819277108434,74.80172181129456
616,False,True,-274,82,0.9878048780487805,0.9390243902439024,14.586420059204102
617,False,True,-217,27,0.962962962962963,0.962962962962963,4.634562969207764
618,False,True,-323,130,0.9769230769230769,0.9461538461538461,23.514693021774292
619,False,True,-210,23,0.9565217391304348,0.9565217391304348,3.8301541805267334
620,False,True,-322,131,0.9847328244274809,0.8549618320610687,23.96392583847046
621,False,True,-280,87,1.0,0.9655172413793104,15.18982195854187
622,False,True,-233,42,0.9761904761904762,0.9047619047619048,7.155864953994751
623,False,True,-212,20,1.0,1.0,3.384235143661499
624,False,True,-216,31,0.967741935483871,0.967741935483871,5.354408025741577
625,False,True,-401,210,0.9952380952380953,0.9285714285714286,37.50168585777283
626,False,True,-244,49,0.9795918367346939,0.9591836734693877,8.650715827941895
627,False,True,-240,40,0.95,0.95,6.983137845993042
628,False,True,-206,18,1.0,0.8888888888888888,3.687469005584717
629,False,True,-288,96,0.96875,0.9375,17.131494998931885
630,False,True,-402,204,0.9901960784313726,0.9509803921568627,37.15467810630798
631,False,True,-222,39,0.9743589743589743,0.8974358974358975,7.037734031677246
632,False,True,-304,124,0.9838709677419355,0.9516129032258065,21.078257083892822
633,False,True,-272,88,0.9772727272727273,0.9772727272727273,14.953432083129883
634,False,True,-300,115,0.991304347826087,0.8956521739130435,20.764875888824463
635,False,True,-227,48,0.8541666666666666,0.8958333333333334,8.619647026062012
636,False,True,-329,118,0.9915254237288136,0.8898305084745762,22.090712070465088
637,False,True,-211,24,1.0,0.9583333333333334,4.147006034851074
638,False,True,-297,94,0.9680851063829787,0.8829787234042553,16.459412813186646
639,False,True,-527,318,0.9968553459119497,0.9465408805031447,57.15268898010254
640,False,True,-250,38,1.0,0.9210526315789473,6.802870035171509
641,False,True,-456,271,0.992619926199262,0.9372693726937269,48.573745012283325
642,False,True,-394,202,0.995049504950495,0.9603960396039604,36.85100293159485
643,False,True,-383,188,0.9840425531914894,0.8882978723404256,33.93960404396057
644,False,True,-650,473,0.9873150105708245,0.9323467230443975,82.88104915618896
645,False,True,-403,224,1.0,0.96875,39.222026109695435
646,False,True,-479,276,0.9963768115942029,0.9492753623188406,48.09897994995117
647,False,True,-414,207,1.0,0.9565217391304348,36.872076988220215
648,False,True,-255,61,0.9836065573770492,0.9672131147540983,10.272804021835327
