episode_number,success_episode,failure_episode,episode_reward,episode_step
294,True,False,-41,237
295,True,False,-21,231
296,True,False,-35,242
297,True,False,-15,230
298,True,False,-27,234
299,True,False,-68,256
300,True,False,-38,239
301,True,False,-9,211
302,True,False,-78,267
303,True,False,-29,233
304,True,False,-34,226
305,True,False,-74,263
306,True,False,-71,261
307,True,False,-48,251
308,True,False,-39,240
309,True,False,-34,236
310,True,False,-56,251
311,True,False,-88,280
312,True,False,-11,228
313,True,False,-1,213
314,True,False,-84,274
315,True,False,-4,220
316,True,False,-68,272
317,True,False,-41,248
318,True,False,1,211
319,True,False,-60,255
320,True,False,-75,266
321,True,False,-42,240
322,True,False,26,202
323,True,False,-41,242
324,True,False,-1,220
325,True,False,-56,252
326,True,False,-103,287
327,True,False,-65,263
328,True,False,-63,259
329,True,False,-95,272
330,True,False,-90,271
331,True,False,-9,219
332,True,False,-99,265
333,True,False,-20,225
334,True,False,-26,230
335,True,False,-83,259
336,True,False,-26,227
337,True,False,-85,273
338,True,False,-47,233
339,True,False,-60,262
340,True,False,17,204
341,True,False,-21,228
342,True,False,-22,229
343,True,False,-27,231
344,True,False,-90,275
345,True,False,-58,258
346,True,False,-25,234
347,True,False,-7,219
348,True,False,-59,259
349,True,False,-98,275
350,True,False,-4,212
351,True,False,6,212
352,True,False,-51,255
353,True,False,-45,247
354,True,False,-20,219
355,True,False,-15,226
356,True,False,-16,219
357,True,False,-18,220
358,True,False,-26,242
359,True,False,-41,245
360,True,False,-21,226
361,True,False,-31,246
362,True,False,-41,255
363,True,False,-68,266
364,True,False,-47,249
365,True,False,10,213
366,True,False,-25,229
367,True,False,25,202
368,True,False,-54,254
369,True,False,-72,255
370,True,False,12,213
371,True,False,-40,242
372,True,False,-23,229
373,True,False,12,204
374,True,False,-9,226
375,True,False,-99,278
376,True,False,-58,259
377,True,False,-38,233
378,True,False,-34,237
379,True,False,-1,220
380,True,False,-34,247
381,True,False,-59,257
382,True,False,-37,232
383,True,False,-37,236
384,True,False,12,207
385,True,False,-1,205
386,True,False,-23,234
387,True,False,-18,231
388,True,False,-56,246
389,True,False,3,207
390,True,False,-21,233
391,True,False,-65,259
392,True,False,-52,239
393,True,False,-1,214
394,True,False,0,208
395,True,False,-37,228
396,True,False,-4,204
397,True,False,-43,246
398,True,False,-13,214
399,True,False,-15,221
400,True,False,-24,233
401,True,False,-60,259
402,True,False,30,192
403,True,False,4,217
