episode_number,success_episode,failure_episode,episode_reward,episode_step
287,True,False,33,270
288,True,False,-44,235
289,True,False,-51,248
290,True,False,39,257
291,True,False,-74,264
292,True,False,-28,222
293,True,False,-101,360
294,True,False,-154,319
295,False,True,-660,321
296,True,False,-95,273
297,True,False,-42,238
298,True,False,-48,251
299,True,False,-136,298
300,True,False,-46,249
301,True,False,-109,350
302,True,False,-49,313
303,True,False,52,246
304,True,False,-17,221
305,True,False,-27,237
306,True,False,-26,239
307,True,False,-34,236
308,True,False,-88,283
309,True,False,-27,226
310,True,False,-57,258
311,True,False,-56,248
312,True,False,55,247
313,True,False,-44,246
314,True,False,19,263
315,True,False,-25,227
316,True,False,14,205
317,True,False,-65,256
318,True,False,17,268
319,True,False,-11,228
320,True,False,-42,242
321,True,False,9,210
322,True,False,-24,231
323,True,False,-69,258
324,True,False,-45,252
325,True,False,-26,295
326,True,False,-76,267
327,True,False,-18,235
328,True,False,-89,271
329,True,False,-34,242
330,True,False,-16,216
331,True,False,-25,233
332,True,False,-52,248
333,True,False,-49,245
334,True,False,-81,267
335,True,False,-26,229
336,True,False,-14,217
337,True,False,-72,268
338,True,False,-45,250
339,True,False,-65,262
340,True,False,-46,304
341,True,False,-40,238
342,True,False,-47,244
343,True,False,21,197
344,True,False,-23,227
345,True,False,-77,266
346,True,False,-21,234
347,True,False,-23,227
348,True,False,-28,243
349,True,False,-57,246
350,True,False,-51,254
351,True,False,-35,248
352,True,False,-15,223
353,True,False,-127,291
354,True,False,-64,252
355,True,False,-76,267
356,True,False,-35,241
357,True,False,-64,258
358,True,False,-46,251
359,True,False,-64,266
360,True,False,-40,246
361,True,False,-27,230
362,True,False,-30,237
363,True,False,-39,239
364,True,False,-63,263
365,True,False,-36,239
366,True,False,2,224
367,True,False,-33,233
368,True,False,-8,213
369,True,False,-3,210
370,True,False,-93,277
371,True,False,-8,285
372,True,False,-91,279
373,True,False,-66,255
374,True,False,6,200
375,True,False,-68,264
376,True,False,-91,273
377,True,False,-78,272
378,True,False,-23,227
379,True,False,-105,285
380,True,False,-105,290
381,True,False,-124,292
382,True,False,-110,289
383,True,False,-59,253
384,True,False,-95,286
385,True,False,-95,278
386,True,False,-22,231
387,True,False,-7,288
388,True,False,-64,253
389,True,False,-37,238
390,True,False,-83,270
391,True,False,9,210
392,True,False,-17,236
393,True,False,-54,250
394,True,False,-32,244
395,True,False,-36,244
396,True,False,-28,232
397,True,False,-66,261
398,True,False,-8,220
399,True,False,-44,244
400,True,False,-58,248
