episode_number,success_episode,failure_episode,episode_reward,episode_step
294,True,False,44,244
295,True,False,69,294
296,True,False,146,257
297,True,False,47,256
298,True,False,15,268
299,True,False,44,318
300,True,False,3,273
301,True,False,129,263
302,True,False,47,316
303,True,False,160,238
304,False,True,-493,133
305,True,False,34,315
306,True,False,51,248
307,True,False,30,252
308,True,False,88,292
309,True,False,102,278
310,True,False,134,261
311,True,False,-6,346
312,True,False,50,324
313,True,False,21,268
314,True,False,58,236
315,True,False,98,278
316,True,False,60,242
317,True,False,27,267
318,True,False,67,233
319,True,False,126,258
320,True,False,136,260
321,True,False,90,280
322,True,False,58,300
323,True,False,105,270
324,True,False,115,270
325,True,False,133,258
326,True,False,64,303
327,True,False,60,309
328,True,False,21,268
329,True,False,122,274
330,True,False,71,288
331,True,False,41,250
332,False,True,-776,317
333,True,False,32,258
334,True,False,97,287
335,True,False,124,270
336,True,False,29,255
337,True,False,22,260
338,True,False,26,265
339,True,False,85,287
340,True,False,-7,279
341,True,False,61,236
342,True,False,15,271
343,True,False,21,269
344,True,False,15,339
345,True,False,35,250
346,True,False,20,258
347,True,False,53,251
348,True,False,61,234
349,True,False,66,301
350,True,False,50,312
351,True,False,116,268
352,True,False,52,248
353,True,False,-66,315
354,True,False,-12,283
355,True,False,16,269
356,True,False,-38,306
357,True,False,98,216
358,True,False,70,230
359,True,False,84,284
360,True,False,52,321
361,True,False,10,275
362,True,False,75,303
363,True,False,126,260
364,True,False,-10,299
365,True,False,137,258
366,True,False,95,289
367,True,False,44,313
368,True,False,24,331
369,True,False,84,225
370,True,False,59,247
371,True,False,20,262
372,True,False,91,286
373,True,False,7,267
374,True,False,26,331
375,True,False,51,247
376,True,False,-97,344
377,True,False,48,258
378,True,False,142,252
379,True,False,-7,281
380,True,False,4,280
381,True,False,-45,313
382,True,False,146,247
383,True,False,-27,307
384,True,False,2,275
385,True,False,-45,306
386,True,False,84,219
387,True,False,112,278
388,True,False,-92,349
389,True,False,135,254
390,True,False,66,243
391,True,False,28,264
392,True,False,73,231
393,True,False,61,232
394,True,False,41,260
395,True,False,109,270
396,True,False,-19,291
397,True,False,101,287
398,True,False,71,235
399,True,False,23,263
400,True,False,73,294
