episode_number,success_episode,failure_episode,episode_reward,episode_step
293,False,True,578,1000
294,False,True,552,1000
295,False,True,19,355
296,False,True,582,1000
297,False,True,513,1000
298,False,True,595,1000
299,False,True,360,811
300,False,True,546,1000
301,False,True,668,1000
302,False,True,544,1000
303,False,True,267,674
304,False,True,356,776
305,False,True,549,1000
306,False,True,457,1000
307,False,True,22,354
308,False,True,450,1000
309,False,True,482,1000
310,False,True,498,1000
311,False,True,608,1000
312,False,True,520,1000
313,False,True,445,1000
314,False,True,357,901
315,False,True,462,1000
316,False,True,-69,183
317,False,True,522,1000
318,False,True,448,1000
319,False,True,303,752
320,False,True,284,595
321,False,True,462,1000
322,False,True,505,1000
323,False,True,499,1000
324,False,True,641,1000
325,False,True,6,341
326,False,True,500,1000
327,False,True,531,1000
328,False,True,543,1000
329,False,True,480,1000
330,False,True,635,1000
331,False,True,609,1000
332,False,True,512,1000
333,False,True,538,1000
334,False,True,534,1000
335,False,True,593,1000
336,False,True,543,1000
337,False,True,703,1000
338,False,True,621,1000
339,False,True,518,1000
340,False,True,722,1000
341,False,True,648,1000
342,False,True,485,1000
343,False,True,752,1000
344,False,True,549,1000
345,False,True,495,1000
346,False,True,547,1000
347,False,True,582,1000
348,False,True,539,1000
349,False,True,624,1000
350,False,True,875,1000
351,False,True,639,1000
352,False,True,733,1000
353,False,True,752,1000
354,False,True,643,1000
355,False,True,574,1000
356,False,True,580,1000
357,False,True,624,1000
358,False,True,438,581
359,False,True,817,973
360,False,True,339,338
361,False,True,737,914
362,False,True,478,366
363,False,True,339,346
364,False,True,347,338
365,False,True,639,650
366,False,True,343,346
367,False,True,680,749
368,False,True,600,1000
369,False,True,698,1000
370,False,True,798,1000
371,False,True,1010,941
372,False,True,713,1000
373,False,True,353,362
374,False,True,824,820
375,False,True,1547,1000
376,False,True,706,1000
377,False,True,387,373
378,False,True,344,350
379,False,True,973,1000
380,False,True,445,602
381,False,True,726,754
382,False,True,571,626
383,False,True,898,1000
384,False,True,829,1000
385,False,True,879,979
386,False,True,316,360
387,False,True,236,356
388,False,True,139,267
389,False,True,864,854
390,False,True,367,357
391,False,True,500,381
392,False,True,1071,782
393,False,True,596,752
394,False,True,441,345
395,True,False,1155,356
396,False,True,653,420
397,False,True,726,378
398,True,False,1400,459
399,False,True,306,332
400,False,True,777,393
401,False,True,412,360
402,False,True,1281,1000
403,False,True,207,333
404,False,True,339,356
405,False,True,407,356
406,False,True,289,339
407,False,True,987,859
408,False,True,371,359
409,False,True,489,386
410,False,True,630,421
411,True,False,1207,370
412,False,True,663,416
413,True,False,1556,477
414,False,True,255,328
415,True,False,1253,440
416,False,True,511,369
417,False,True,247,329
418,False,True,520,564
419,True,False,1653,532
420,False,True,331,315
421,False,True,337,305
422,True,False,1266,449
423,True,False,1364,505
424,False,True,405,317
425,True,False,1296,503
426,True,False,1510,522
427,False,True,563,360
428,True,False,1267,511
429,True,False,1265,523
430,False,True,1123,817
431,False,True,587,397
432,False,True,427,337
433,True,False,1171,454
434,True,False,1223,450
435,False,True,336,326
436,False,True,665,626
437,False,True,527,566
438,False,True,166,392
439,False,True,687,621
440,False,True,623,393
441,True,False,1308,461
442,False,True,694,669
443,False,True,420,345
444,True,False,1251,369
445,False,True,561,620
446,False,True,639,632
447,False,True,494,372
448,False,True,914,724
449,False,True,716,402
450,True,False,1294,357
451,False,True,638,722
452,True,False,1136,361
453,False,True,612,403
454,False,True,141,402
455,False,True,144,402
456,False,True,132,374
457,False,True,281,321
458,False,True,531,574
459,False,True,438,551
460,False,True,341,338
461,True,False,1235,378
462,True,False,1079,402
463,False,True,409,356
464,False,True,412,439
465,True,False,1354,477
466,True,False,1061,370
467,False,True,570,557
468,False,True,445,357
469,False,True,428,360
470,False,True,337,361
471,False,True,552,607
472,True,False,1326,473
473,False,True,488,584
474,True,False,1177,412
475,False,True,727,722
476,True,False,1289,429
477,True,False,1119,385
478,True,False,1094,406
479,False,True,434,348
480,False,True,593,641
481,True,False,1345,462
482,False,True,770,697
483,True,False,1247,399
484,True,False,927,438
485,True,False,652,197
486,False,True,662,682
487,True,False,1290,504
488,False,True,574,399
489,False,True,370,340
490,True,False,1125,360
491,False,True,556,401
492,True,False,921,450
493,False,True,597,583
494,False,True,550,623
495,False,True,551,392
496,False,True,633,593
497,False,True,820,759
498,False,True,550,413
499,True,False,1009,388
500,False,True,512,596
501,True,False,1371,371
502,False,True,691,610
503,False,True,491,568
504,False,True,409,591
505,False,True,475,576
506,False,True,483,611
507,False,True,594,585
508,False,True,482,585
509,False,True,487,607
510,False,True,508,427
511,False,True,446,429
512,False,True,506,426
513,False,True,506,394
514,False,True,354,377
515,False,True,24,209
516,False,True,236,435
517,False,True,1287,1000
